ticker,date,open,high,low,close
CRWV,2025-03-28,39.0,41.94,37.46,40.0
CRWV,2025-03-31,38.49,38.49,36.01,37.0
CRWV,2025-04-01,38.5,53.27,37.2,52.57
CRWV,2025-04-02,55.91,64.62,51.4,61.36
CRWV,2025-04-03,55.39,57.6462,48.26,53.75
CRWV,2025-04-04,49.502,51.0,43.565,47.61
CRWV,2025-04-07,43.815,52.0,42.2,49.63
CRWV,2025-04-08,54.145,54.78,42.36,43.59
CRWV,2025-04-09,43.725,49.88,39.1211,48.76
CRWV,2025-04-10,46.9,46.9999,41.8443,42.23
CRWV,2025-04-11,42.5,44.88,41.04,43.75
CRWV,2025-04-14,46.795,46.85,42.4,43.61
CRWV,2025-04-15,43.56,44.65,40.0003,40.78
CRWV,2025-04-16,40.165,40.84,38.34,40.73
CRWV,2025-04-17,41.05,41.59,38.35,39.09
CRWV,2025-04-21,38.62,38.6388,33.515,35.415
CRWV,2025-04-22,36.98,39.61,36.0,38.51
CRWV,2025-04-23,42.075,43.9,40.16,41.5435
CRWV,2025-04-24,42.55,43.5,38.8,41.77
CRWV,2025-04-25,41.95,44.36,40.9,41.54
CRWV,2025-04-28,42.01,43.33,39.78,42.02
CRWV,2025-04-29,42.205,46.45,41.0101,42.82
CRWV,2025-04-30,40.71,41.5099,39.5,41.36
CRWV,2025-05-01,47.025,48.35,44.03,44.32
CRWV,2025-05-02,46.9398,51.82,45.8,51.57
CRWV,2025-05-05,50.282,52.78,49.7,51.01
CRWV,2025-05-06,49.41,54.832,49.0608,54.295
CRWV,2025-05-07,53.6,53.6,51.4,53.6
CRWV,2025-05-08,54.71,55.7,52.77,55.0
CRWV,2025-05-09,55.99,56.82,50.18,51.37
CRWV,2025-05-12,54.3,59.44,53.01,58.49
CRWV,2025-05-13,57.585,64.87,57.46,63.26
CRWV,2025-05-14,66.0438,68.5,64.0,67.46
CRWV,2025-05-15,68.88,72.97,61.37,65.77
CRWV,2025-05-16,68.075,84.0,67.55,80.3
CRWV,2025-05-19,76.9,88.9,76.9,86.59
CRWV,2025-05-20,89.67,96.3499,83.305,90.24
CRWV,2025-05-21,89.46,109.49,89.3,107.39
CRWV,2025-05-22,112.0,116.539,99.51,100.16
CRWV,2025-05-23,98.0,106.79,97.1,102.678
CRWV,2025-05-27,109.268,125.02,107.975,123.97
CRWV,2025-05-28,123.75,123.75,113.0,116.15
CRWV,2025-05-29,123.5,130.76,105.535,105.55
CRWV,2025-05-30,109.0,111.95,104.9,111.315
CRWV,2025-06-02,116.295,123.66,114.01,120.2
CRWV,2025-06-03,125.3,150.88,124.7,150.48
CRWV,2025-06-04,155.875,166.63,144.31,163.1
CRWV,2025-06-05,156.0,157.46,132.8,135.11
CRWV,2025-06-06,144.93,148.79,138.59,140.16
CRWV,2025-06-09,147.8,163.29,144.137,162.1
CRWV,2025-06-10,156.5,158.3,149.0,154.9
CRWV,2025-06-11,160.01,166.03,145.52,149.7
CRWV,2025-06-12,153.7,154.8,142.5,148.97
CRWV,2025-06-13,143.24,154.5,142.5,147.19
CRWV,2025-06-16,148.6,158.5,143.48,158.5
CRWV,2025-06-17,156.98,175.38,155.8,171.93
CRWV,2025-06-18,173.33,176.75,165.55,170.0
CRWV,2025-06-20,171.82,186.98,168.85,183.84
